word,level
absorb,B2
abstract,B2
accent,B2
accidentally,B2
accommodate,B2
accomplish,B2
accountant,B2
accuracy,B2
accurately,B2
acid,B2
activate,B2
addiction,B2
additionally,B2
adequate,B2
adequately,B2
adjust,B2
affordable,B2
agriculture,B2
AIDS,B2
alien,B2
alongside,B2
altogether,B2
ambulance,B2
amusing,B2
analyst,B2
ancestor,B2
animation,B2
annually,B2
anticipate,B2
anxiety,B2
apology,B2
applicant,B2
appropriately,B2
arrow,B2
artwork,B2
aside,B2
asset,B2
assign,B2
assistance,B2
assumption,B2
assure,B2
astonishing,B2
attachment,B2
auction,B2
audio,B2
automatic,B2
automatically,B2
awareness,B2
awkward,B2
badge,B2
balanced,B2
ballet,B2
balloon,B2
barely,B2
bargain,B2
basement,B2
basket,B2
bat,B2
beneficial,B2
beside,B2
besides,B2
bias,B2
bid,B2
biological,B2
blanket,B2
blow,B2
bold,B2
bombing,B2
booking,B2
boost,B2
bound,B2
brick,B2
briefly,B2
broadcaster,B2
broadly,B2
bug,B2
cabin,B2
canal,B2
candle,B2
carbon,B2
casual,B2
cave,B2
certainty,B2
certificate,B2
challenging,B2
championship,B2
charming,B2
chase,B2
cheek,B2
cheer,B2
choir,B2
chop,B2
circuit,B2
civilization,B2
clarify,B2
classify,B2
clerk,B2
cliff,B2
clinic,B2
clip,B2
coincidence,B2
collector,B2
colony,B2
colourful,B2
comic,B2
commander,B2
comparative,B2
completion,B2
compose,B2
composer,B2
compound,B2
comprehensive,B2
comprise,B2
compulsory,B2
concrete,B2
confess,B2
confusion,B2
consequently,B2
conservation,B2
considerable,B2
considerably,B2
consistently,B2
conspiracy,B2
consult,B2
consultant,B2
consumption,B2
controversial,B2
controversy,B2
convenience,B2
convention,B2
conventional,B2
convey,B2
convincing,B2
cope,B2
corporation,B2
corridor,B2
counter,B2
coverage,B2
crack,B2
craft,B2
creativity,B2
critically,B2
cruise,B2
cue,B2
curious,B2
curriculum,B2
cute,B2
dairy,B2
dare,B2
darkness,B2
database,B2
deadline,B2
deadly,B2
dealer,B2
deck,B2
defender,B2
delete,B2
democracy,B2
democratic,B2
demonstration,B2
depart,B2
dependent,B2
deposit,B2
depression,B2
derive,B2
desperately,B2
destruction,B2
determination,B2
devote,B2
differ,B2
disability,B2
disabled,B2
disagreement,B2
disappoint,B2
disappointment,B2
discourage,B2
disorder,B2
distant,B2
distinct,B2
distinguish,B2
distract,B2
disturb,B2
dive,B2
diverse,B2
diversity,B2
divorce,B2
dominant,B2
donation,B2
dot,B2
downtown,B2
dramatically,B2
drought,B2
dull,B2
dump,B2
duration,B2
dynamic,B2
economics,B2
economist,B2
editorial,B2
efficiently,B2
elbow,B2
electronics,B2
elegant,B2
elementary,B2
eliminate,B2
embrace,B2
emission,B2
emotionally,B2
empire,B2
